ID,ParentID,Asignee,Hours,Title
VAR-5650,VAR-4824,lampartm,1,Style Guide Review
VAR-5921,VAR-4824,thomasn,2,Add Start Side Header to Section
VAR-6017,VAR-4824,vohuua,1,Modify manual test script
VAR-6027,VAR-4824,khafajizadehf,2,QA Execute/Debug Automation Test Script - Master 
VAR-5592,VAR-4822,thomasn,2,Update Front End Model to Match Backend
VAR-5593,VAR-4822,thomasn,4,Display Data from Model in Template
VAR-5594,VAR-4822,thomasn,1,Add Logic For Which Icon To Display
VAR-5595,VAR-4822,thomasn,3,Unit Test
VAR-5596,VAR-4822,thomasn,1,Code Review
VAR-5599,VAR-4822,lampartm,2,Create Manual Test Script
VAR-5600,VAR-4822,lampartm,1,Style Guide Review
VAR-5609,VAR-4822,lampartm,4,Environment Setup
VAR-5611,VAR-4822,vohuua,6,QA Create Automation test script
VAR-5612,VAR-4822,vohuua,3,Manual Testing - iPhone / VoiceOver
VAR-5613,VAR-4822,vohuua,2,QA Execute/ Debug automation test script
VAR-5614,VAR-4822,khafajizadehf,0,Code review automation - Farid
VAR-5615,VAR-4822,khafajizadehf,1,Review Manual Test Script - Farid
VAR-5630,VAR-4822,vohuua,3,Manual Testing - Android / TalkBack
VAR-5642,VAR-4822,vohuua,2,Manual Testing - Windows / NVDA
VAR-5715,VAR-4822,thomasn,3,Update environment to New Booked Appt Service 
VAR-5723,VAR-4822,thomasn,4,Restructure Front End Call of New Booked Appt Call
VAR-5798,VAR-4822,thomasn,1,update SDD for moment timezone
VAR-5919,VAR-4822,vohuua,1,Edit manual test scripts 
VAR-6024,VAR-4822,vohuua,1,Execute automation test on master
